Shipment_ID,Product_ID,Seller_ID,Origin,Destination,Warehouse_ID,Warehouse_Location,Timestamp
SH1,636,SE331,West Katherineside,South Bobby,W49,Jonesview,12-09-2020 15:56
SH2,547,SE291,Riosburgh,Kingchester,W2,Rodriguezland,06-10-2022 15:17
SH3,851,SE146,Harrisonstad,South William,W2,Rodriguezland,01-04-2023 09:05
SH4,810,SE185,North Rachelshire,Santanaside,W94,Port Christopher,27-05-2021 05:20
SH5,182,SE255,East Joseph,Julieville,W21,North Heatherfort,15-01-2020 10:19
SH6,565,SE450,Lake Kristenside,West Carrieview,W59,Port Joshuaton,01-10-2021 22:33
SH7,299,SE3,Johnnystad,South Debraton,W90,Angelamouth,27-07-2022 20:45
SH8,875,SE180,Brownton,South Chelseyview,W9,North Carrie,07-08-2021 12:30
SH9,868,SE260,Brianborough,Port Leslie,W75,Alecfurt,19-07-2021 08:26
SH10,344,SE357,Kimland,Garciashire,W64,Robertburgh,17-03-2020 17:56
SH11,293,SE17,Frankborough,East Johnchester,W4,Nguyenview,11-01-2024 18:24
SH12,890,SE300,North Christopherview,Brianstad,W10,North Jonathanbury,18-02-2024 05:51
SH13,339,SE217,East Denise,Lake Robertborough,W6,Salinashaven,09-10-2023 10:53
SH14,635,SE449,Joseville,East Jamesfort,W52,Mooreshire,21-03-2022 01:44
SH15,632,SE36,Nelsonmouth,Lake Mistyville,W45,North Rebeccafort,26-11-2023 02:02
SH16,468,SE225,North Brian,West Maxwell,W70,Port Meredithmouth,25-11-2020 12:57
SH17,911,SE154,West Mary,Lake Meghan,W72,Dickersonborough,22-04-2021 10:07
SH18,952,SE481,Millershire,New Taylormouth,W61,Thomasfort,30-11-2023 08:27
SH19,964,SE345,Stephaniefort,Sheltonberg,W94,Port Christopher,27-11-2023 16:33
SH20,148,SE30,East Kevinhaven,Lake Williamside,W72,Dickersonborough,15-12-2020 10:17
SH21,405,SE27,West Rhonda,Lake Anthony,W92,Gutierrezborough,16-01-2023 23:49
SH22,590,SE62,New Robertborough,Zacharyview,W20,Ginabury,18-01-2023 22:36
SH23,802,SE150,South Raymondfurt,South Paulport,W52,Mooreshire,27-05-2022 16:10
SH24,98,SE417,West Deborah,Nicholashaven,W97,Dominguezbury,30-09-2023 20:44
SH25,978,SE198,South Judithfort,East Raymond,W36,Lake Sandrabury,19-04-2022 09:24
SH26,125,SE239,Port Wandaberg,Taylorfort,W48,Rebeccaland,25-09-2023 03:04
SH27,102,SE122,South Cheyenneburgh,Estradafort,W67,Johnsonfort,16-11-2020 13:48
SH28,305,SE465,Tammyshire,Meltonton,W79,Kellyburgh,05-11-2022 05:15
SH29,720,SE366,Lake Jeffreymouth,Jeremyview,W29,Bellborough,24-09-2023 14:00
SH30,670,SE105,Port Cherylland,Robertbury,W33,Mollybury,10-12-2020 04:59
SH31,448,SE52,Jasonville,Danielville,W32,South Samuel,22-08-2021 07:53
SH32,992,SE44,Raymondstad,North Chelsea,W42,New Jessica,10-10-2020 17:35
SH33,573,SE328,Keyland,Hughesside,W35,Youngland,16-05-2021 02:53
SH34,892,SE64,Johnsontown,Normaville,W1,Lake Darrellstad,10-07-2022 16:31
SH35,73,SE319,Clarkton,New Monique,W75,Alecfurt,21-05-2020 22:00
SH36,434,SE187,Lake Edward,East Kevin,W1,Lake Darrellstad,19-10-2022 21:58
SH37,462,SE366,West Shannonstad,Scottchester,W75,Alecfurt,18-03-2022 10:38
SH38,122,SE193,Andersonberg,North Tim,W9,North Carrie,03-05-2020 20:16
SH39,862,SE78,Millerton,West Rodneymouth,W73,Bakershire,11-03-2024 16:12
SH40,939,SE290,New Sandra,Charlestown,W61,Thomasfort,14-01-2023 10:03
SH41,391,SE455,Lake Emilyburgh,Lake Danielfort,W76,Lake Royport,01-05-2024 18:10
SH42,567,SE160,West Matthew,Port Robert,W27,Samanthamouth,02-05-2023 03:27
SH43,948,SE155,Kennedyberg,Edwardshire,W41,New Elizabeth,23-12-2023 02:12
SH44,177,SE56,Millerhaven,East Micheleport,W62,Scottside,30-05-2022 22:56
SH45,359,SE119,New Kathy,Millerland,W39,Joshuaside,09-02-2022 12:12
SH46,603,SE65,Gibsonville,Toddmouth,W28,North Roberthaven,31-01-2023 13:59
SH47,125,SE75,Bishopborough,Salazarmouth,W88,Josephton,07-02-2021 22:57
SH48,80,SE234,Belindamouth,Williamsshire,W88,Josephton,25-05-2022 16:22
SH49,510,SE366,Thomasborough,Curtisside,W13,Melissatown,02-02-2021 17:04
SH50,147,SE322,West Janice,North Scott,W50,Hamiltonport,11-04-2024 04:38
SH51,810,SE86,Mckinneyport,Lopezside,W14,Kathrynmouth,07-03-2020 15:18
SH52,296,SE103,Lake Breannahaven,Gonzalesberg,W32,South Samuel,20-10-2020 11:56
SH53,541,SE155,East Kathleentown,Allisontown,W77,Curtisbury,13-04-2023 05:47
SH54,745,SE454,South Robertburgh,Port Marcus,W28,North Roberthaven,02-03-2023 07:56
SH55,235,SE284,Vanessachester,Ramosshire,W37,Lake Toniport,03-11-2020 07:55
SH56,694,SE240,Christophermouth,East George,W18,New Sarah,18-11-2021 23:59
SH57,777,SE207,Tabithastad,Comptonborough,W93,Lucasville,21-11-2021 17:57
SH58,542,SE19,Lake Ryan,East Matthewmouth,W66,Port Benjaminville,04-08-2023 07:08
