User_ID,Account_Age,Email_Verified,Phone_Verified,Total_Products_Ordered,Return_Attempts,Successful_Returns,Complaints_Raised,Complaints_Refuted,Frequent_Location,Total_Reviews_Written,Legitimacy_Score,Normalized_Legitimacy_Score
U1,6,True,False,191,0,10,13,14,East Teresa,74,321,0.7605042016806722
U2,5,False,True,42,0,17,2,10,East Brandonland,91,280,0.7030812324929971
U3,1,True,False,92,7,10,9,12,Davidside,83,225,0.6260504201680672
U4,8,False,False,74,13,1,18,4,New Sara,56,-25,0.2759103641456583
U5,6,True,False,148,3,17,5,3,West Heather,1,128,0.49019607843137253
U6,3,False,True,193,2,17,0,13,Sextonshire,63,396,0.865546218487395
U7,1,False,True,9,7,16,19,7,Murphyborough,28,-105,0.1638655462184874
U8,3,False,True,109,16,0,1,7,Millerhaven,83,276,0.6974789915966386
U9,2,False,True,38,9,0,17,7,Roblesmouth,97,106,0.45938375350140054
U10,3,True,True,41,13,10,18,16,West Richardtown,29,20,0.3389355742296919
U11,8,False,False,37,5,11,8,4,New Michelle,62,70,0.40896358543417366
U12,2,True,True,23,18,18,1,8,Reynoldsmouth,51,133,0.49719887955182074
U13,2,True,False,112,1,9,19,17,Lake Danielleborough,62,162,0.5378151260504201
U14,2,False,False,170,8,1,2,12,Kaitlynborough,5,182,0.5658263305322129
U15,6,False,False,17,12,10,3,5,Brandyville,23,-10,0.2969187675070028
U16,2,False,False,198,2,9,11,11,North Derrick,49,217,0.6148459383753502
U17,9,False,False,143,0,12,7,14,East Joshuaburgh,5,147,0.5168067226890757
U18,3,True,False,199,5,4,4,10,New Makaylatown,73,378,0.8403361344537815
U19,3,False,True,66,16,8,2,7,Jasmineside,76,193,0.5812324929971989
U20,1,True,False,100,2,4,11,12,Jamiemouth,55,194,0.5826330532212886
U21,3,False,False,170,0,5,9,3,West Michael,32,155,0.5280112044817927
U22,5,True,False,21,19,16,11,11,Johnsonbury,89,77,0.41876750700280113
U23,6,False,False,16,10,1,13,18,New Dianefort,37,10,0.32492997198879553
U24,7,False,True,159,0,14,16,16,Kariton,20,155,0.5280112044817927
U25,7,True,False,27,2,6,10,17,New Daniel,46,146,0.5154061624649859
U26,6,True,True,36,12,15,16,9,West Kaylaport,8,-41,0.2535014005602241
U27,7,True,True,174,8,2,13,11,Whitneyville,53,275,0.696078431372549
U28,3,True,False,93,9,16,5,17,Davidmouth,7,121,0.4803921568627451
U29,6,True,True,26,6,12,15,2,Woodwardtown,8,-40,0.2549019607843137
U30,1,True,True,12,3,2,15,8,Powellfurt,6,-3,0.3067226890756303
U31,6,True,False,5,16,1,9,5,Lake Jamesview,1,-78,0.20168067226890757
U32,3,True,True,79,7,8,4,6,Port Nicole,54,232,0.6358543417366946
U33,6,False,False,138,12,10,19,1,Clintonbury,32,-51,0.23949579831932774
U34,2,False,True,157,14,13,11,11,Benjaminbury,26,112,0.4677871148459384
U35,7,False,False,181,12,15,16,11,Leeside,57,114,0.47058823529411764
U36,6,True,False,74,12,14,17,5,South Michael,13,-71,0.211484593837535
U37,4,True,False,34,12,16,3,11,North Christopher,60,145,0.5140056022408963
U38,4,True,True,181,5,4,1,14,Toddchester,88,492,1.0
U39,3,True,True,2,19,5,13,15,West Andrew,18,-16,0.28851540616246496
U40,9,True,True,61,13,19,11,12,New Jill,47,120,0.4789915966386555
U41,9,True,True,84,6,10,1,8,Gordonburgh,23,228,0.6302521008403361
U42,2,True,True,24,6,13,6,9,Sandratown,77,211,0.6064425770308123
U43,8,True,True,88,8,14,17,8,Port Royshire,8,22,0.34173669467787116
U44,8,True,False,85,15,16,16,7,South Amber,45,9,0.3235294117647059
U45,3,True,False,100,7,4,9,8,Christineland,86,235,0.6400560224089635
U46,9,False,True,199,4,9,11,10,Whitefort,81,331,0.7745098039215687
U47,4,True,True,92,4,3,11,18,Kennedyborough,13,180,0.5630252100840336
U48,8,False,False,51,15,5,8,0,New Jasonberg,79,60,0.3949579831932773
U49,8,True,True,71,10,14,11,4,Kaufmanfurt,14,47,0.37675070028011204
U50,2,False,False,74,5,18,7,0,South Kimberly,59,65,0.4019607843137255
U51,1,False,False,158,16,2,8,2,South Pamelaberg,55,116,0.4733893557422969
U52,9,False,True,87,7,5,17,17,West Rita,3,31,0.3543417366946779
U53,4,False,False,98,19,10,8,16,Katherinemouth,15,21,0.3403361344537815
U54,9,False,False,160,18,11,16,6,Adamsside,51,38,0.3641456582633053
U55,7,False,True,143,10,6,14,4,Wilkinston,97,219,0.6176470588235294
U56,6,True,False,184,13,2,5,14,Schroederview,58,313,0.7492997198879552
U57,7,False,True,124,12,0,11,7,North Johnstad,15,83,0.4271708683473389
U58,4,False,False,31,10,10,5,18,New Mark,26,61,0.3963585434173669
U59,7,False,False,53,17,5,16,13,Stanleyfort,3,-117,0.14705882352941177
U60,5,True,False,8,3,19,19,1,Port Steven,7,-156,0.09243697478991597
U61,1,True,True,69,15,15,7,10,Gutierrezville,58,162,0.5378151260504201
U62,3,True,True,105,14,12,8,2,Keithview,25,97,0.44677871148459386
U63,2,False,False,54,17,4,11,17,Fisherstad,87,114,0.47058823529411764
U64,4,True,False,70,9,10,15,2,Monicaside,9,-59,0.22829131652661064
U65,7,True,False,144,13,4,19,1,Lake Haley,30,10,0.32492997198879553
U66,5,False,False,115,19,5,17,13,New Lucasmouth,61,37,0.3627450980392157
U67,8,True,False,45,3,2,3,13,Reyesfort,16,159,0.5336134453781513
U68,1,False,True,67,15,10,17,8,Olsonfurt,12,-82,0.19607843137254902
U69,5,True,True,12,18,19,4,9,Barrymouth,73,145,0.5140056022408963
U70,1,False,True,148,3,8,16,6,Diazmouth,42,123,0.4831932773109244
U71,1,True,False,6,18,4,14,12,Ariasberg,49,-22,0.2801120448179272
U72,7,True,False,89,11,18,4,8,Sanchezhaven,18,98,0.4481792717086835
U73,3,False,False,109,7,12,17,14,Port Josephbury,77,110,0.4649859943977591
U74,3,True,False,176,3,1,19,12,South Seanton,82,249,0.6596638655462185
U75,1,True,True,145,9,0,14,13,Scottberg,15,157,0.530812324929972
U76,3,True,True,85,6,18,10,6,West Kristychester,64,183,0.5672268907563025
U77,8,False,True,130,18,6,4,11,Port Karenton,13,135,0.5
U78,6,False,False,37,14,9,2,7,New Patricia,35,46,0.3753501400560224
U79,8,True,True,17,14,9,8,2,Moralesmouth,25,25,0.34593837535014005
U80,4,True,False,127,16,8,12,19,Lake Darrellland,86,236,0.6414565826330533
U81,8,True,True,52,18,17,18,19,Reedburgh,40,39,0.36554621848739494
U82,9,False,False,106,5,7,10,9,Paulfort,25,80,0.42296918767507
U83,5,True,True,55,16,7,18,10,Lake James,12,-35,0.2619047619047619
U84,4,True,True,110,9,12,19,0,East William,0,-41,0.2535014005602241
U85,4,False,False,43,6,9,1,11,Patrickland,78,204,0.5966386554621849
U86,1,True,False,180,0,14,10,1,Meyersberg,30,169,0.5476190476190477
U87,1,False,False,126,12,7,16,3,Ortegatown,76,61,0.3963585434173669
U88,3,False,False,195,14,13,16,13,Denisefort,13,36,0.36134453781512604
U89,6,True,False,33,9,19,12,12,East Maryton,99,150,0.5210084033613446
U90,6,False,True,124,11,19,11,3,Morganville,96,190,0.5770308123249299
U91,3,True,True,104,6,19,10,1,Lake Gerald,58,163,0.5392156862745098
U92,2,False,True,70,19,0,14,17,West Jonathanside,65,104,0.4565826330532213
U93,6,True,True,131,12,15,4,7,Ericmouth,96,340,0.7871148459383753
U94,6,True,True,15,12,0,18,9,New Nicholas,66,64,0.4005602240896359
U95,9,False,True,89,5,7,6,4,East Bridget,3,84,0.42857142857142855
U96,5,False,False,170,17,16,6,5,Amandaville,28,84,0.42857142857142855
U97,4,False,True,109,3,13,17,0,Thomasberg,87,130,0.49299719887955185
U98,8,True,False,101,11,8,8,8,Hollymouth,17,90,0.4369747899159664
U99,5,True,True,199,6,19,0,12,Lake Jennaburgh,9,319,0.757703081232493
U100,7,False,False,159,13,17,1,3,Boydton,37,153,0.5252100840336135
U101,3,False,False,70,4,13,19,9,Robertston,91,67,0.40476190476190477
U102,7,True,False,195,18,10,8,7,Kendrachester,93,290,0.7170868347338936
U103,1,False,True,105,6,8,0,11,North Angel,67,300,0.7310924369747899
U104,6,True,False,168,19,19,14,0,Perezfurt,60,77,0.41876750700280113
U105,8,True,True,33,8,2,11,19,South Emily,33,156,0.5294117647058824
U106,8,False,True,79,18,14,13,10,Andreaberg,11,-31,0.26750700280112044
U107,7,True,True,151,16,18,19,15,Edwardsstad,96,226,0.6274509803921569
U108,9,True,False,190,5,9,6,2,Theresafurt,47,259,0.6736694677871149
U109,1,False,True,124,11,14,3,13,Lake Anita,30,188,0.5742296918767507
U110,3,True,True,49,19,0,16,9,New Williamton,39,23,0.3431372549019608
U111,4,False,False,21,11,14,3,18,Karenberg,40,86,0.43137254901960786
U112,9,False,False,67,15,15,1,16,Alyssachester,84,218,0.6162464985994398
U113,3,False,False,9,11,4,0,17,Darlenetown,61,159,0.5336134453781513
U114,4,False,False,48,2,6,14,2,Mitchellport,87,78,0.42016806722689076
U115,4,False,True,162,16,14,19,16,Lopezberg,11,24,0.3445378151260504
U116,8,False,True,150,16,4,18,19,Charlesside,65,173,0.5532212885154062
U117,5,False,True,72,17,2,3,13,North Ellen,17,112,0.4677871148459384
U118,3,True,True,145,18,1,9,0,East Susan,34,137,0.5028011204481793
U119,7,True,True,175,13,1,3,17,Lauratown,13,303,0.7352941176470589
U120,1,True,False,170,17,13,14,11,New Thomas,35,96,0.44537815126050423
U121,7,True,False,65,2,9,4,3,South Johnny,18,112,0.4677871148459384
U122,5,False,True,13,15,17,1,18,Cochranfurt,93,230,0.6330532212885154
U123,6,False,True,183,5,12,13,15,Gonzaleztown,92,325,0.7661064425770309
U124,4,True,False,30,8,15,18,7,Fitzgeraldtown,14,-99,0.1722689075630252
U125,8,True,True,180,17,1,19,0,Kellerfurt,66,151,0.5224089635854342
U126,7,False,False,131,8,10,13,5,Kimberlytown,52,84,0.42857142857142855
U127,1,True,True,69,14,18,9,5,North Melissafurt,97,194,0.5826330532212886
U128,1,False,False,170,6,3,13,6,Madelinestad,73,182,0.5658263305322129
U129,7,True,False,60,4,13,9,8,Bryanfurt,64,156,0.5294117647058824
U130,5,False,True,140,18,14,2,1,North Jamesport,75,217,0.6148459383753502
U131,5,False,True,150,10,0,15,10,Lake Ann,58,176,0.5574229691876751
U132,1,False,False,173,19,15,2,11,North Nathanielfurt,4,93,0.4411764705882353
U133,7,False,False,183,15,17,9,7,Andrewborough,97,227,0.6288515406162465
U134,5,True,True,111,18,16,8,6,Jonesville,78,205,0.5980392156862745
U135,3,True,False,121,3,0,14,9,West Beckyborough,87,241,0.6484593837535014
U136,5,False,True,95,7,0,18,4,Donaldberg,98,156,0.5294117647058824
U137,4,True,False,57,6,9,6,15,Emilyburgh,11,104,0.4565826330532213
U138,8,True,False,186,11,0,10,1,Ochoatown,1,104,0.4565826330532213
U139,6,False,True,104,13,9,14,6,North Judithmouth,48,69,0.40756302521008403
U140,8,False,False,6,11,10,0,15,New Mary,97,216,0.6134453781512605
U141,7,False,True,162,1,15,6,7,New Tylerborough,5,176,0.5574229691876751
U142,3,True,False,185,6,18,17,3,Jamesland,70,160,0.5350140056022409
U143,1,False,True,195,0,10,7,14,Jenniferchester,93,413,0.8893557422969187
U144,8,False,False,47,3,6,3,7,New Jeffrey,3,47,0.37675070028011204
U145,7,False,True,145,14,15,1,6,Beckerview,26,181,0.5644257703081232
U146,6,True,True,21,13,14,19,6,Moralesburgh,35,-50,0.24089635854341737
U147,8,True,False,77,1,1,2,4,Tuckerbury,74,284,0.7086834733893558
U148,2,False,False,172,16,14,18,11,Andreamouth,93,129,0.49159663865546216
U149,8,False,True,49,15,12,9,10,Lake Hunter,67,110,0.4649859943977591
U150,9,False,True,85,18,8,10,17,Port Jason,3,38,0.3641456582633053
U151,7,True,False,171,2,7,19,8,West Deborah,42,145,0.5140056022408963
U152,9,False,True,93,5,16,3,0,Carrollbury,74,222,0.6218487394957983
U153,7,True,True,59,12,0,5,19,North Paulaburgh,44,246,0.6554621848739496
U154,9,False,False,112,4,13,0,14,Bernardborough,4,162,0.5378151260504201
U155,1,True,False,122,4,11,9,17,North Andrew,70,267,0.6848739495798319
U156,5,False,False,78,18,4,0,15,Lake Amandashire,10,85,0.42997198879551823
U157,7,False,False,157,9,4,11,7,Melissaland,4,51,0.38235294117647056
U158,8,True,False,144,7,15,4,17,Francisport,89,368,0.8263305322128851
U159,5,True,False,179,12,16,11,9,Ortegaville,11,104,0.4565826330532213
U160,3,True,True,72,17,7,6,13,Port Taylorchester,58,200,0.5910364145658263
U161,8,True,False,189,16,15,15,14,Theodoreburgh,15,95,0.44397759103641454
U162,8,True,False,198,8,2,15,16,Thomasborough,58,266,0.6834733893557423
U163,5,True,True,169,12,18,3,6,Morrisside,78,339,0.7857142857142857
U164,7,True,True,142,14,5,19,11,Smithville,55,151,0.5224089635854342
U165,8,False,False,180,15,8,14,4,Port Elizabeth,76,137,0.5028011204481793
U166,4,False,True,30,7,4,8,6,South Stephanieshire,71,137,0.5028011204481793
U167,7,False,False,42,3,16,13,3,Harveyshire,18,-70,0.21288515406162464
